,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2022-09-28,26.86,27.28,26.6,27.13,27.13,40359981.0,40359981.0,0.27,1.005,27.00333,"September 28, 22",0.01005
1,2022-09-27,27.4,27.6,26.62,26.89,26.89,44103714.0,44103714.0,-0.51,-1.861,27.03667,"September 27, 22",-0.01861
2,2022-09-26,27.56,27.7,26.86,26.97,26.97,44762297.0,44762297.0,-0.59,-2.141,27.17667,"September 26, 22",-0.02141
3,2022-09-23,27.9,27.9,27.19,27.52,27.52,43479087.0,43479087.0,-0.38,-1.362,27.53667,"September 23, 22",-0.01362
4,2022-09-22,28.4,28.5,28.04,28.07,28.07,36051766.0,36051766.0,-0.33,-1.162,28.20333,"September 22, 22",-0.01162
5,2022-09-21,29.15,29.59,28.46,28.47,28.47,39912101.0,39912101.0,-0.68,-2.333,28.84,"September 21, 22",-0.02333
6,2022-09-20,29.07,29.17,28.71,28.96,28.96,31098797.0,31098797.0,-0.11,-0.378,28.94667,"September 20, 22",-0.00378
7,2022-09-19,29.02,29.5,28.9,29.44,29.44,33121325.0,33121325.0,0.42,1.447,29.28,"September 19, 22",0.01447
8,2022-09-16,28.7,29.32,28.42,29.24,29.24,72688031.0,72688031.0,0.54,1.882,28.99333,"September 16, 22",0.01882
9,2022-09-15,29.15,29.41,28.71,28.84,28.84,39835420.0,39835420.0,-0.31,-1.063,28.98667,"September 15, 22",-0.01063
10,2022-09-14,29.55,29.77,29.01,29.18,29.18,40725314.0,40725314.0,-0.37,-1.252,29.32,"September 14, 22",-0.01252
11,2022-09-13,30.83,30.93,29.25,29.29,29.29,71337066.0,71337066.0,-1.54,-4.995,29.82333,"September 13, 22",-0.04995
12,2022-09-12,31.74,31.86,31.1,31.56,31.56,38287143.0,38287143.0,-0.18,-0.567,31.50667,"September 12, 22",-0.00567
13,2022-09-09,31.19,31.5,31.075,31.46,31.46,34082248.0,34082248.0,0.27,0.866,31.345,"September 09, 22",0.00866
14,2022-09-08,30.37,30.85,29.91,30.75,30.75,37344668.0,37344668.0,0.38,1.251,30.50333,"September 08, 22",0.01251
15,2022-09-07,30.42,30.79,30.05,30.65,30.65,37311522.0,37311522.0,0.23,0.756,30.49667,"September 07, 22",0.00756
16,2022-09-06,31.39,31.39,30.33,30.36,30.36,46956633.0,46956633.0,-1.03,-3.281,30.69333,"September 06, 22",-0.03281
17,2022-09-02,32.21,32.375,31.06,31.22,31.22,34893450.0,34893450.0,-0.99,-3.074,31.55167,"September 02, 22",-0.03074
18,2022-09-01,31.57,31.83,31.13,31.76,31.76,36414038.0,36414038.0,0.19,0.602,31.57333,"September 01, 22",0.00602
19,2022-08-31,32.39,32.39,31.77,31.92,31.92,43811069.0,43811069.0,-0.47,-1.451,32.02667,"August 31, 22",-0.01451
20,2022-08-30,33.04,33.07,32.15,32.26,32.26,40123558.0,40123558.0,-0.78,-2.361,32.49333,"August 30, 22",-0.02361
21,2022-08-29,33.23,33.41,32.81,32.94,32.94,32921876.0,32921876.0,-0.29,-0.873,33.05333,"August 29, 22",-0.00873
22,2022-08-26,34.95,35.03,33.35,33.36,33.36,44804028.0,44804028.0,-1.59,-4.549,33.91333,"August 26, 22",-0.04549
23,2022-08-25,33.87,34.93,33.82,34.89,34.89,29785371.0,29785371.0,1.02,3.012,34.54667,"August 25, 22",0.03012
24,2022-08-24,33.97,33.99,33.6,33.86,33.86,25053563.0,25053563.0,-0.11,-0.324,33.81667,"August 24, 22",-0.00324
25,2022-08-23,33.98,34.39,33.91,33.95,33.95,30615864.0,30615864.0,-0.03,-0.088,34.08333,"August 23, 22",-0.00088
26,2022-08-22,35.0,35.06,33.73,33.84,33.84,50972209.0,50972209.0,-1.16,-3.314,34.21,"August 22, 22",-0.03314
27,2022-08-19,35.8,36.03,35.19,35.38,35.38,31395703.0,31395703.0,-0.42,-1.173,35.53333,"August 19, 22",-0.01173
28,2022-08-18,35.68,36.33,35.57,36.2,36.2,24582729.0,24582729.0,0.52,1.457,36.03333,"August 18, 22",0.01457
29,2022-08-17,35.81,36.08,35.27,35.78,35.78,29162349.0,29162349.0,-0.03,-0.084,35.71,"August 17, 22",-0.00084
30,2022-08-16,36.16,36.58,35.7,36.19,36.19,24990602.0,24990602.0,0.03,0.083,36.15667,"August 16, 22",0.00083
