,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
0,2022-09-28,364.38,372.3,362.61,370.53,370.53,101116649.0,101116649.0,6.15,1.688,368.48,"September 28, 22",0.01688
1,2022-09-27,368.02,370.39,360.88,363.38,363.38,108303234.0,108303234.0,-4.64,-1.261,364.88333,"September 27, 22",-0.01261
2,2022-09-26,366.41,370.21,363.03,364.31,364.31,92352546.0,92352546.0,-2.1,-0.573,365.85,"September 26, 22",-0.00573
3,2022-09-23,370.58,370.62,363.29,367.95,367.95,122220287.0,122220287.0,-2.63,-0.71,367.28667,"September 23, 22",-0.0071
4,2022-09-22,376.58,378.3,373.44,374.22,374.22,89350733.0,89350733.0,-2.36,-0.627,375.32,"September 22, 22",-0.00627
5,2022-09-21,386.11,389.31,377.38,377.39,377.39,106290674.0,106290674.0,-8.72,-2.258,381.36,"September 21, 22",-0.02258
6,2022-09-20,385.06,386.12,381.2,384.09,384.09,77113445.0,77113445.0,-0.97,-0.252,383.80333,"September 20, 22",-0.00252
7,2022-09-19,382.26,388.55,382.18,388.55,388.55,73095591.0,73095591.0,6.29,1.645,386.42667,"September 19, 22",0.01645
8,2022-09-16,384.14,386.25,382.11,385.56,385.56,102813677.0,102813677.0,1.42,0.37,384.64,"September 16, 22",0.0037
9,2022-09-15,392.96,395.96,388.78,390.12,390.12,87358488.0,87358488.0,-2.84,-0.723,391.62,"September 15, 22",-0.00723
10,2022-09-14,394.47,396.2,391.12,394.6,394.6,84875189.0,84875189.0,0.13,0.033,393.97333,"September 14, 22",0.00033
11,2022-09-13,401.83,403.1,391.92,393.1,393.1,122951388.0,122951388.0,-8.73,-2.173,396.04,"September 13, 22",-0.02173
12,2022-09-12,408.78,411.73,408.46,410.97,410.97,69256775.0,69256775.0,2.19,0.536,410.38667,"September 12, 22",0.00536
13,2022-09-09,402.74,407.51,402.46,406.6,406.6,76624739.0,76624739.0,3.86,0.958,405.52333,"September 09, 22",0.00958
14,2022-09-08,395.39,400.86,394.12,400.38,400.38,80827493.0,80827493.0,4.99,1.262,398.45333,"September 08, 22",0.01262
15,2022-09-07,390.43,398.59,390.21,397.78,397.78,68853051.0,68853051.0,7.35,1.883,395.52667,"September 07, 22",0.01883
16,2022-09-06,393.13,394.12,388.42,390.76,390.76,76551331.0,76551331.0,-2.37,-0.603,391.1,"September 06, 22",-0.00603
17,2022-09-02,400.28,401.56,390.33,392.24,392.24,99580762.0,99580762.0,-8.04,-2.009,394.71,"September 02, 22",-0.02009
18,2022-09-01,392.89,396.78,390.04,396.42,396.42,78321758.0,78321758.0,3.53,0.898,394.41333,"September 01, 22",0.00898
19,2022-08-31,399.93,401.24,395.04,395.18,395.18,75544609.0,75544609.0,-4.75,-1.188,397.15333,"August 31, 22",-0.01188
20,2022-08-30,403.85,404.1,396.0,398.21,398.21,85467270.0,85467270.0,-5.64,-1.397,399.43667,"August 30, 22",-0.01397
21,2022-08-29,402.2,405.84,401.2,402.63,402.63,65237930.0,65237930.0,0.43,0.107,403.22333,"August 29, 22",0.00107
22,2022-08-26,419.39,419.96,405.25,405.31,405.31,102899984.0,102899984.0,-14.08,-3.357,410.17333,"August 26, 22",-0.03357
23,2022-08-25,415.24,419.56,414.09,419.51,419.51,50859199.0,50859199.0,4.27,1.028,417.72,"August 25, 22",0.01028
24,2022-08-24,412.11,415.11,411.39,413.67,413.67,49110231.0,49110231.0,1.56,0.379,413.39,"August 24, 22",0.00379
25,2022-08-23,412.9,415.42,411.77,412.35,412.35,48929548.0,48929548.0,-0.55,-0.133,413.18,"August 23, 22",-0.00133
26,2022-08-22,417.05,417.23,412.4,413.35,413.35,77583192.0,77583192.0,-3.7,-0.887,414.32667,"August 22, 22",-0.00887
27,2022-08-19,424.98,425.26,421.22,422.14,422.14,67940721.0,67940721.0,-2.84,-0.668,422.87333,"August 19, 22",-0.00668
28,2022-08-18,426.86,428.61,425.5,427.89,427.89,48903352.0,48903352.0,1.03,0.241,427.33333,"August 18, 22",0.00241
29,2022-08-17,425.91,429.5,424.54,426.65,426.65,63470760.0,63470760.0,0.74,0.174,426.89667,"August 17, 22",0.00174
30,2022-08-16,427.73,431.73,426.88,429.7,429.7,59189507.0,59189507.0,1.97,0.461,429.43667,"August 16, 22",0.00461
31,2022-08-15,424.77,429.41,424.71,428.86,428.86,53950308.0,53950308.0,4.09,0.963,427.66,"August 15, 22",0.00963
32,2022-08-12,422.03,427.21,421.05,427.1,427.1,60142477.0,60142477.0,5.07,1.201,425.12,"August 12, 22",0.01201
33,2022-08-11,422.99,424.95,419.21,419.99,419.99,53026234.0,53026234.0,-3.0,-0.709,421.38333,"August 11, 22",-0.00709
34,2022-08-10,418.78,420.14,416.72,419.99,419.99,68534858.0,68534858.0,1.21,0.289,418.95,"August 10, 22",0.00289
